GRB;designation;z;E_iso;instrument;GCN
120909A;IBdHNe 120909A;3.93;73.2;Fermi;13737
120922A;IBdHNe 120922A;3.1;32.0;Fermi;13809
121024A;IBdHNe 121024A;2.3;10.7;Swift;13899
121027A;IBdHNe 121027A;1.77;6.55;Swift;13910
121128A;IBdHNe 121128A;2.2;13.2;Fermi;14012
121217A;IBdHNe 121217A;3;24.2;Fermi;14094
130418A;IBdHNe 130418A;1.218;9.90;KW;14417
130420A;IBdHNe 130420A;1.297;7.74;Fermi;14429
130427A;IBdHNe 130427A;0.338;105.;Fermi;14473
130427B;IBdHNe 130427B;2.78;5.04;Swift;14469
130505A;IBdHNe 130505A;2.27;347.;KW;14575
130514A;IBdHNe 130514A;3.6;52.4;KW+Swift;14702
130528A;IBdHNe 130528A;1.25;4.40;Fermi;14729
130606A;IBdHNe 130606A;5.91;28.3;KW;14808
130610A;IBdHNe 130610A;2.092;6.99;Fermi;14858
130701A;IBdHNe 130701A;1.155;2.60;KW;14958
130907A;IBdHNe 130907A;1.238;304.;KW;15203
130925A;IBdHNe 130925A;0.347;18.4;Fermi;15255
131030A;IBdHNe 131030A;1.293;173.;KW;15413
131105A;IBdHNe 131105A;1.686;34.7;Fermi;15455
131108A;IBdHNe 131108A;2.4;73.0;Fermi;15477
131117A;IBdHNe 131117A;4.042;1.02;Swift;15499
131231A;IBdHNe 131231A;0.642;22.2;Fermi;15644
140206A;IBdHNe 140206A;2.74;35.9;Fermi;15796
140213A;IBdHNe 140213A;1.2076;9.93;Fermi;15833
140226A;IBdHNe 140226A;1.98;5.80;KW;15889
140304A;IBdHNe 140304A;5.283;13.7;Fermi;15923
140311A;IBdHNe 140311A;4.954;11.6;Swift;15962
140419A;IBdHNe 140419A;3.956;186.;KW;16134
140423A;IBdHNe 140423A;3.26;65.3;Fermi;16152
140506A;IBdHNe 140506A;0.889;1.12;Fermi;16220
140508A;IBdHNe 140508A;1.027;23.9;Fermi;16224
140509A;IBdHNe 140509A;2.4;9.14;Swift;16240
140512A;IBdHNe 140512A;0.725;7.76;Fermi;16262
140614A;IBdHNe 140614A;4.233;7.30;Swift;16402
140620A;IBdHNe 140620A;2.04;6.22;Fermi;16426
140629A;IBdHNe 140629A;2.275;6.15;KW;16495
140703A;IBdHNe 140703A;3.14;1.72;Fermi;16512
140907A;IBdHNe 140907A;1.21;2.29;Fermi;16798
141026A;IBdHNe 141026A;3.35;7.17;Swift;16960
141109A;IBdHNe 141109A;2.993;5.05;KW;17055
141121A;IBdHNe 141121A;1.47;14.6;KW;17108
141221A;IBdHNe 141221A;1.452;1.94;Fermi;17216
150206A;IBdHNe 150206A;2.087;151.;KW;17427
150314A;IBdHNe 150314A;1.758;98.1;Fermi;17579
150403A;IBdHNe 150403A;2.06;91.0;Fermi;17674
150514A;IBdHNe 150514A;0.807;1.14;Fermi;17819
150821A;IBdHNe 150821A;0.755;15.1;Fermi;18190
150910A;IBdHNe 150910A;1.36;22.3;Swift;18268
151021A;IBdHNe 151021A;2.33;211.;KW;18433
151027A;IBdHNe 151027A;0.81;3.86;Fermi;18492
151027B;IBdHNe 151027B;4.063;19.1;Swift;18514
151111A;IBdHNe 151111A;3.5;5.13;Fermi;18582
151112A;IBdHNe 151112A;4.1;12.4;Swift;18593
151215A;IBdHNe 151215A;2.59;1.97;Swift;18699
160121A;IBdHNe 160121A;1.96;2.62;Swift;18919
160131A;IBdHNe 160131A;0.972;60.4;KW;18974
