GRB;designation;z;E_iso(1e52 erg);instrument;GCN;ra(deg);dec(deg);error radius(arcsec);trigger time(UT)
080916C;IBdHNe 080916C;4.35;242.0;Fermi;8278;163.666;69.066;144.0;2008-09-16 14:44:47.000
080928A;IBdHNe 080928A;1.69;4.93;Fermi;8316;95.07;-55.2;144.0;2008-09-28 15:01:32.000
081008A;IBdHNe 081008A;1.97;9.34;Swift;8351;279.958;-57.431;144.0;2008-10-08 19:58:09.000
081028A;IBdHNe 081028A;3.04;12.0;Swift;8428;121.895;2.308;1.5;2008-10-28 00:25:00.000
081109A;IBdHNe 081109A;0.98;1.87;Fermi;8505;330.79;-54.711;144.0;2008-11-09 07:02:06.000
081121A;IBdHNe 081121A;2.51;24.9;Fermi;8546;89.276;-60.603;144.0;2008-11-21 20:35:32.000
081203A;IBdHNe 081203A;2.1;35.1;Swift;8595;233.032;63.521;144.0;2008-12-03 13:57:11.000
081221A;IBdHNe 081221A;2.26;33.8;Fermi;8704;15.793;-24.548;1.4;2008-12-21 16:21:11.000
081222A;IBdHNe 081222A;2.77;25.9;Fermi;8715;22.74;-34.095;144.0;2008-12-22 04:53:59.000
090102A;IBdHNe 090102A;1.55;19.8;KW;8776;128.244;33.114;144.0;2009-01-02 02:55:45.000
090328A;IBdHNe 090328A;0.736;19.5;Fermi;9056;183.501;-48.817;1.6;2009-03-08 18:01:23.000
090313A;IBdHNe 090313A;3.38;13.1;Swift;8986;198.401;8.097;1.5;2009-03-13 09:06:27.000
090418A;IBdHNe 090418A;1.61;15.0;KW;9171;269.313;33.406;144.0;2009-04-18 11:07:40.000
090423A;IBdHNe 090423A;8.2;10.9;Fermi;9229;148.889;18.149;1.4;2009-04-23 07:55:19.000
090424A;IBdHNe 090424A;0.544;4.51;Fermi;9230;189.521;16.838;144.0;2009-04-24 14:12:09.000
090516A;IBdHNe 090516A;3.9;65.0;Fermi;9413;138.26;-11.854;1.5;2009-05-16 08:27:50.000
090618A;IBdHNe 090618A;0.54;28.6;Fermi;9535;293.995;78.357;144.0;2009-06-18 08:28:29.000
090715B;IBdHNe 090715B;3.0;22.1;KW;9679;251.34;44.839;1.4;2009-07-15 21:03:14.000
090809A;IBdHNe 090809A;2.74;4.98;Swift;9756;328.68;-0.084;144.0;2009-08-09 17:31:14.000
090812A;IBdHNe 090812A;2.45;41.7;KW+Swift;9821;353.202;-10.605;144.0;2009-08-12 06:02:08.000
090926A;IBdHNe 090926A;2.11;217.0;Fermi;9933;46.308;-39.006;1.4;2009-09-26 21:55:48.000
090902B;IBdHNe 090902B;1.82;403.0;Fermi;9866;117.72;-0.658;1.4;2009-09-29 10:09:07.000
091003A;IBdHNe 091003A;0.9;10.9;Fermi;9983;175.73;50.978;144.0;2009-10-20 21:36:44.000
091020A;IBdHNe 091020A;1.71;7.63;Fermi;10095;175.73;50.978;144.0;2009-10-20 21:36:44.000
091029A;IBdHNe 091029A;2.75;7.52;Swift;10103;60.177;-55.956;144.0;2009-10-29 03:53:22.000
091127A;IBdHNe 091127A;0.49;1.79;Fermi;10204;36.583;-18.952;144.0;2009-11-27 23:25:45.000
091208B;IBdHNe 091208B;1.06;2.03;Fermi;10266;29.392;16.89;144.0;2009-12-08 09:49:57.000
100302A;IBdHNe 100302A;4.81;5.24;Swift;10462;195.516;74.59;1.5;2010-03-02 19:53:06.000
100425A;IBdHNe 100425A;1.75;2.84;Swift;10685;299.196;-26.431;1.5;2010-04-25 02:50:45.000
100513A;IBdHNe 100513A;4.77;25.7;Swift;10753;169.612;3.628;1.4;2010-05-13 02:07:08.000
